date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:43	127519/127519	---M--	200	added ('OK')	image/jpeg	etag:%22ccccaa8e1b8113ef830b3c9646c89df3-ssl%22	https://therealprediction.online/images/08.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/08.jpg	(from https://therealprediction.online/)
17:19:44	148518/148518	---M--	200	added ('OK')	image/jpeg	etag:%22096cac7a60a1b19bff3daaecf7d87616-ssl%22	https://therealprediction.online/images/09.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/09.jpg	(from https://therealprediction.online/)
17:19:44	86709/86709	---M-Z	200	added ('OK')	application/javascript	etag:%2264982e02-7624%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	C:/Users/perfect/Desktop/annaofficial/cdnjs.cloudflare.com/ajax/libs/jquery/3.1.1/jquery.min.js	(from https://therealprediction.online/)
17:19:44	135915/135915	---M--	200	added ('OK')	image/jpeg	etag:%22b60f0493b08b5c259989113772ea1530-ssl%22	https://therealprediction.online/images/10.jpeg	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/images/10.jpg	(from https://therealprediction.online/)
17:19:45	112880/112880	---M-Z	200	added ('OK')	application/javascript	etag:%226497e168-942a%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/1.19.1/TweenMax.min.js	C:/Users/perfect/Desktop/annaofficial/cdnjs.cloudflare.com/ajax/libs/gsap/1.19.1/TweenMax.min.js	(from https://therealprediction.online/)
17:19:46	6095/6095	---M-Z	200	added ('OK')	application/javascript	etag:%220080cd50542c69d6d73f4b12cb48889b-ssl-df%22	https://therealprediction.online/script.js	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/script.js	(from https://therealprediction.online/)
17:19:47	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1729243043-ssl-df	https://therealprediction.online/a	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/a.e.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
17:19:48	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1729243043-ssl-df	https://therealprediction.online/POST	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/POST.f.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
17:19:49	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1729243043-ssl-df	https://therealprediction.online/schema.org/	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/schema.org/index.html	(from https://connect.facebook.net/en_US/fbevents.js)
17:19:49	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1729243043-ssl-df	https://therealprediction.online/b.resolvedLink	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/b.10.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
17:19:50	3449/3449	---MCZ	404	error ('Not%20Found')	text/html	etag:1729243043-ssl-df	https://therealprediction.online/signals/iwl.js	C:/Users/perfect/Desktop/annaofficial/therealprediction.online/signals/iwl.11.delayed	(from https://connect.facebook.net/en_US/fbevents.js)
